ID,Start time,Completion time,Email,Name,What is it?,NSFW?,Truth or Dare,Submitted by (Discord Username)
1,10/19/22 10:59:05,10/19/22 11:01:49,anonymous,,Dare,No,Change your discord server nickname to your high school nickname for 24 hours,Adam W
2,10/19/22 16:37:19,10/19/22 16:37:33,anonymous,,Truth,Yes,What is the song that you get it on to the most?,Anonymous
3,10/19/22 16:37:36,10/19/22 16:37:43,anonymous,,Truth,Yes,How many people have you slept with?,Anonymous
4,10/19/22 16:37:48,10/19/22 16:37:52,anonymous,,Truth,No,Who here are you most jealous of?,Anonymous
5,10/19/22 16:37:56,10/19/22 16:38:01,anonymous,,Truth,No,When was the last time you cried?,Anonymous
6,10/19/22 16:38:02,10/19/22 16:38:11,anonymous,,Truth,No,What are you wearing?,Anonymous
7,10/19/22 16:38:15,10/19/22 16:38:20,anonymous,,Truth,No,"If I went through your room, what would I be surprised to find?",Anonymous
8,10/19/22 16:38:24,10/19/22 16:38:28,anonymous,,Truth,Yes,Are you turned on right now?,Anonymous
9,10/19/22 16:38:34,10/19/22 16:38:38,anonymous,,Dare,Yes,You have to leave an R-rated voicemail for an ex.,Anonymous
11,10/19/22 16:38:54,10/19/22 16:38:58,anonymous,,Dare,Yes,Give a detailed presentation on how you woo a lover in the style of a TED Talk.,Anonymous
12,10/19/22 16:39:02,10/19/22 16:39:11,anonymous,,Dare,No,You have to say 'I am just a silly boy' and slap yourself gently on the face 20 times. Send the video.",Anonymous
13,10/19/22 16:39:15,10/19/22 16:39:18,anonymous,,Dare,No,Scream. (Record it and send the audio.),Anonymous
14,10/19/22 16:39:23,10/19/22 16:39:27,anonymous,,Dare,No,Send the most unflattering picture of you that you have in your phone.,Anonymous
15,10/19/22 16:39:31,10/19/22 16:39:35,anonymous,,Dare,No,Send the most recent text that you sent your mom.,Anonymous
16,10/19/22 17:09:00,10/19/22 17:09:19,anonymous,,Dare,Yes,Post a picture of your feet,Sysengineer
17,10/19/22 17:10:00,10/19/22 17:10:11,anonymous,,Truth,Yes,how hard would you spank me?,Anonymous
18,10/19/22 17:10:13,10/19/22 17:10:58,anonymous,,Truth,Yes,Do you remember the first time you came? What were you thinking when it happened?,Anonymous
19,10/20/22 6:52:01,10/20/22 6:52:23,anonymous,,Truth,Yes,What is your most bizarre sex story,Anonymous
20,10/20/22 6:52:27,10/20/22 6:54:52,anonymous,,Truth,No,What street did you grow up on? What is the name of your childhood pet? Who was your first grade teacher? What is your mother's maiden name?,Alex
21,10/20/22 14:03:33,10/20/22 14:04:03,anonymous,,Dare,No,Drink a full bottle of water,your mom
22,10/20/22 14:04:05,10/20/22 14:04:45,anonymous,,Truth,Yes,When is the last time you lied about feeding your dog?,Jef
23,10/20/22 14:04:48,10/20/22 15:35:12,anonymous,,Truth,Yes,How much have you spent on OF?,jakeperalta
24,10/20/22 15:35:14,10/20/22 15:35:42,anonymous,,Truth,Yes,How much would you spend on sysengineer's OF?,jakeperalta
25,10/21/22 15:29:50,10/21/22 15:30:09,anonymous,,Truth,Yes,How did you lose your v-card?,Anonymous
26,10/21/22 15:31:38,10/21/22 15:48:15,anonymous,,Truth,Yes,What is the hardest drug you have done?,Anonymous
